"id","title","area","region","extended","lon","lat"
1513033,"Воскресенское","Новотроїцький район","Херсонська область","Воскресенское Новотроїцький район",34.1701425,46.4389321
1512716,"Высокое","Бериславський район","Херсонська область","Высокое Бериславський район",33.0983102,46.9197431
1512825,"Высокополье","Високопільський район","Херсонська область","Высокополье Високопільський район",33.5317111,47.488789
1512945,"Гавриловка Вторая","Каланчацький район","Херсонська область","Гавриловка Вторая Каланчацький район",33.4681326,46.1801308
1512844,"Гайово","Генічеський район","Херсонська область","Гайово Генічеський район",34.7941731,46.3260424
384,"Геническ","Генічеський район","Херсонська область","Геническ Генічеський район",34.8068184,46.1784329
1512846,"Геническая Горка","Генічеський район","Херсонська область","Геническая Горка Генічеський район",34.8290098,46.1097649
1512885,"Геройское","Голопристанський район","Херсонська область","Геройское Голопристанський район",31.8946297,46.5129813
1512887,"Голая Пристань","Голопристанський район","Херсонська область","Голая Пристань Голопристанський район",32.5201269,46.5210948
1512914,"Горностаевка","Горностаївський район","Херсонська область","Горностаевка Горностаївський район",33.7289334,47.0052788
1513034,"Горностаевка","Новотроїцький район","Херсонська область","Горностаевка Новотроїцький район",34.2879919,46.5183959
1513111,"Григоровка","Чаплинський район","Херсонська область","Григоровка Чаплинський район",33.7362076,46.2914996
1513035,"Громовка","Новотроїцький район","Херсонська область","Громовка Новотроїцький район",34.0940872,46.3143816
1512792,"Давыдов Брод","Великоолександрівський район","Херсонська область","Давыдов Брод Великоолександрівський район",33.1923521,47.2368259
1512747,"Дарьевка","Білозерський район","Херсонська область","Дарьевка Білозерський район",32.786597,46.7522695
1513036,"Двойное","Новотроїцький район","Херсонська область","Двойное Новотроїцький район",34.1972887,46.4975845
1512776,"Демидовка","Великолепетиський район","Херсонська область","Демидовка Великолепетиський район",34.3038477,47.0585816
1512994,"Демьяновка","Нижньосірогозький район","Херсонська область","Демьяновка Нижньосірогозький район",34.5513242,46.9409817
1513037,"Дивное","Новотроїцький район","Херсонська область","Дивное Новотроїцький район",34.4130504,46.5219743
1512962,"Дмитровка","Каховський район","Херсонська область","Дмитровка Каховський район",33.8240622,46.7116604
1512748,"Днепровское","Білозерський район","Херсонська область","Днепровское Білозерський район",32.4669988,46.5903525
1512888,"Доброполье","Голопристанський район","Херсонська область","Доброполье Голопристанський район",32.5793201,46.23458
1513090,"Доброселье","Олешківський / Цюрупинський район","Херсонська область","Доброселье Олешківський / Цюрупинський район",33.0003099,46.4467319
1513112,"Долинское","Чаплинський район","Херсонська область","Долинское Чаплинський район",33.6986989,46.4457034
1512889,"Долматовка","Голопристанський район","Херсонська область","Долматовка Голопристанський район",32.4662971,46.2145662
1512929,"Дружбовка","Іванівський район","Херсонська область","Дружбовка Іванівський район",34.7358468,46.7908492
1512915,"Дубовка","Горностаївський район","Херсонська область","Дубовка Горностаївський район",33.9286479,46.8196671
1513015,"Дудчаны","Нововоронцовський район","Херсонська область","Дудчаны Нововоронцовський район",33.7785346,47.1860699
1512963,"Дудчинное","Каховський район","Херсонська область","Дудчинное Каховський район",33.6837268,46.6959383
1512890,"Железный Порт","Голопристанський район","Херсонська область","Железный Порт Голопристанський район",32.2912714,46.1236303
1512916,"Заводовка","Горностаївський район","Херсонська область","Заводовка Горностаївський район",33.8001507,47.0458495
1512749,"Загоряновка","Білозерський район","Херсонська область","Загоряновка Білозерський район",32.5702905,46.844479
1512826,"Заградовка","Високопільський район","Херсонська область","Заградовка Високопільський район",33.2774977,47.5261407
1513078,"Зеленовка","Херсон город","Херсонська область","Зеленовка Херсон город",32.6379115,46.714899
1512816,"Зеленое","Верхньорогачицький район","Херсонська область","Зеленое Верхньорогачицький район",34.2789487,47.1578839
1512892,"Зеленотропинское","Голопристанський район","Херсонська область","Зеленотропинское Голопристанський район",32.4434509,46.2724992
1512984,"Зелёный Под / Червоный Перекоп","Каховський район","Херсонська область","Зелёный Под / Червоный Перекоп Каховський район",33.7816357,46.6782514
1512717,"Змеевка","Бериславський район","Херсонська область","Змеевка Бериславський район",33.5838295,46.8678542
1513016,"Золотая Балка","Нововоронцовський район","Херсонська область","Золотая Балка Нововоронцовський район",33.963947,47.3759623
1351,"Ивановка","Іванівський район","Херсонська область","Ивановка Іванівський район",34.5460205,46.7151845
1512750,"Ивановка","Білозерський район","Херсонська область","Ивановка Білозерський район",33.0193256,46.7487821
1512828,"Ивановка","Високопільський район","Херсонська область","Ивановка Високопільський район",33.379269,47.4680216
1513114,"Ильинка","Чаплинський район","Херсонська область","Ильинка Чаплинський район",33.789447,46.45329
1512751,"Ингулец","Білозерський район","Херсонська область","Ингулец Білозерський район",32.82684,46.7906884
